bin_id	Clone_0	Clone_1	Clone_2
bin_253	10	5	10
bin_254	10	5	10
bin_255	10	5	10
bin_256	10	5	10
bin_257	10	5	10
bin_258	10	5	10
bin_259	10	5	10
bin_260	10	5	10
bin_261	10	5	10
bin_262	10	5	10
bin_263	10	5	10
bin_264	10	5	10
bin_265	10	5	10
bin_266	10	5	10
bin_267	10	5	10
bin_268	10	5	10
bin_269	10	5	10
bin_270	10	5	10
bin_271	10	5	10
bin_272	10	5	10
bin_273	10	5	10
bin_274	10	5	10
bin_275	10	5	10
bin_276	10	5	10
bin_277	10	5	10
bin_278	10	5	10
bin_279	10	5	10
bin_280	10	5	10
bin_281	10	5	10
bin_282	10	5	10
bin_283	10	5	10
bin_284	10	5	10
bin_285	10	5	10
bin_286	10	5	10
bin_287	10	5	10
bin_288	10	5	10
bin_289	10	5	10
bin_290	10	5	10
bin_291	10	5	10
bin_292	10	5	10
bin_293	10	5	10
bin_294	10	5	10
bin_295	10	5	10
bin_296	10	5	10
bin_297	10	5	10
bin_298	10	5	10
bin_299	10	5	10
bin_300	10	5	10
bin_301	10	5	10
bin_302	10	5	10
bin_303	10	5	10
bin_304	10	5	10
bin_305	10	5	10
bin_306	10	5	10
bin_307	10	5	10
bin_308	10	5	10
bin_309	10	5	10
bin_310	10	5	10
bin_311	10	5	10
bin_312	10	5	10
bin_313	10	5	10
bin_314	10	5	10
bin_315	10	5	10
bin_316	10	5	10
bin_317	10	5	10
bin_318	10	5	10
bin_319	10	5	10
bin_320	10	5	10
bin_321	10	5	10
bin_322	10	5	10
bin_323	10	5	10
bin_324	10	5	10
bin_325	10	5	10
bin_326	10	5	10
bin_327	10	5	10
bin_328	10	5	10
bin_329	10	5	10
bin_330	10	5	10
bin_331	10	5	10
bin_332	10	5	10
bin_333	10	5	10
bin_334	10	5	10
bin_335	10	5	10
bin_336	10	5	10
bin_337	10	5	10
bin_338	10	5	10
bin_339	10	5	10
bin_340	10	5	10
bin_341	10	5	10
bin_342	10	5	10
bin_343	10	5	10
bin_344	10	5	10
bin_345	10	5	10
bin_346	10	5	10
bin_347	10	5	10
bin_348	10	5	10
bin_349	10	5	10
bin_350	10	5	10
bin_351	10	5	10
bin_352	10	5	10
bin_353	10	5	10
bin_354	10	5	10
bin_355	10	5	10
bin_356	10	5	10
bin_357	10	5	10
bin_358	10	5	10
bin_359	10	5	10
bin_360	10	5	10
bin_361	10	5	10
bin_362	10	5	10
bin_363	10	5	10
bin_364	10	5	10
bin_365	10	5	10
bin_366	10	5	10
bin_367	10	5	10
bin_368	10	5	10
bin_369	10	5	10
bin_370	10	5	10
bin_371	10	5	10
bin_372	10	5	10
bin_373	10	5	10
bin_374	10	5	10
bin_375	10	5	10
bin_376	10	5	10
bin_377	10	5	10
bin_378	10	5	10
bin_379	10	5	10
bin_380	10	5	10
bin_381	10	5	10
bin_382	10	5	10
bin_383	10	5	10
bin_384	10	5	10
bin_385	10	5	10
bin_386	10	5	10
bin_387	10	5	10
bin_388	10	5	10
bin_389	10	5	10
bin_390	10	5	10
bin_391	10	5	10
bin_392	10	5	10
bin_393	10	5	10
bin_394	10	5	10
bin_395	10	5	10
bin_396	10	5	10
bin_397	10	5	10
bin_398	10	5	10
bin_399	10	5	10
bin_400	10	5	10
bin_401	10	5	10
bin_402	10	5	10
bin_403	10	5	10
bin_404	10	5	10
bin_405	10	5	10
bin_406	10	5	10
bin_407	10	5	10
bin_408	10	5	10
bin_409	10	5	10
bin_410	10	5	10
bin_411	10	5	10
bin_412	10	5	10
bin_413	10	5	10
bin_414	10	5	10
bin_415	10	5	10
bin_416	10	5	10
bin_417	10	5	10
bin_418	10	5	10
bin_419	10	5	10
bin_420	10	5	10
bin_421	10	5	10
bin_422	10	5	10
bin_423	10	5	10
bin_424	10	5	10
bin_425	10	5	10
bin_426	10	5	10
bin_427	10	5	10
bin_428	10	5	10
bin_429	10	5	10
bin_430	10	5	10
bin_431	10	5	10
bin_432	10	5	10
bin_433	10	5	10
bin_434	10	5	10
bin_435	10	5	10
bin_436	10	5	10
bin_437	10	5	10
bin_438	10	5	10
bin_439	10	5	10
bin_440	10	5	10
bin_441	10	5	10
bin_442	10	5	10
bin_443	10	5	10
bin_444	10	5	10
bin_445	10	5	10
bin_446	10	5	10
bin_447	10	5	10
bin_448	10	5	10
bin_449	10	5	10
bin_450	10	5	10
bin_451	10	5	10
bin_452	10	5	10
bin_453	10	5	10
bin_454	10	5	10
bin_455	10	5	10
bin_456	10	5	10
bin_457	10	5	10
bin_458	10	5	10
bin_459	10	5	10
bin_460	10	5	10
bin_461	10	5	10
bin_462	10	5	10
bin_463	10	5	10
bin_464	10	5	10
bin_465	10	5	10
bin_466	10	5	10
bin_467	10	5	10
bin_468	10	5	10
bin_469	10	5	10
bin_470	10	5	10
bin_471	10	5	10
bin_472	10	5	10
bin_473	10	5	10
bin_474	10	5	10
bin_475	10	5	10
bin_476	10	5	10
bin_477	10	5	10
bin_478	10	5	10
bin_479	10	5	10
bin_480	10	5	10
bin_481	10	5	10
bin_482	10	5	10
bin_483	10	5	10
bin_484	10	5	10
bin_485	10	5	10
bin_486	10	5	10
bin_487	10	5	10
bin_488	10	5	10
bin_489	10	5	10
bin_490	10	5	10
bin_491	10	5	10
bin_492	10	5	10
bin_493	10	5	10
bin_494	10	5	10
bin_495	10	5	10
bin_496	10	5	10
bin_497	10	5	10
bin_498	10	5	10
bin_499	10	5	10
bin_500	1	5	1
bin_501	1	5	1
bin_502	1	5	1
bin_503	1	5	1
bin_504	1	5	1
bin_505	1	5	1
bin_506	1	5	1
bin_507	1	5	1
bin_508	1	5	1
bin_509	1	5	1
bin_510	1	5	1
bin_511	1	5	1
bin_512	1	5	1
bin_513	1	5	1
bin_514	1	5	1
bin_515	1	5	1
bin_516	1	5	1
bin_517	1	5	1
bin_518	1	5	1
bin_519	1	5	1
bin_520	1	5	1
bin_521	1	5	1
bin_522	1	5	1
bin_523	1	5	1
bin_524	1	5	1
bin_525	1	5	1
bin_526	1	5	1
bin_527	1	5	1
bin_528	1	5	1
bin_529	1	5	1
bin_530	1	5	1
bin_531	1	5	1
bin_532	1	5	1
bin_533	1	5	1
bin_534	1	5	1
bin_535	1	5	1
bin_536	1	5	1
bin_537	1	5	1
bin_538	1	5	1
bin_539	1	5	1
bin_540	1	5	1
bin_541	1	5	1
bin_542	1	5	1
bin_543	1	5	1
bin_544	1	5	1
bin_545	1	5	1
bin_546	1	5	1
bin_547	1	5	1
bin_548	1	5	1
bin_549	1	5	1
bin_550	1	5	1
bin_551	1	5	1
bin_552	1	5	1
bin_553	1	5	1
bin_554	1	5	1
bin_555	1	5	1
bin_556	1	5	1
bin_557	1	5	1
bin_558	1	5	1
bin_559	1	5	1
bin_560	1	5	1
bin_561	1	5	1
bin_562	1	5	1
bin_563	1	5	1
bin_564	1	5	1
bin_565	1	5	1
bin_566	1	5	1
bin_567	1	5	1
bin_568	1	5	1
bin_569	1	5	1
bin_570	1	5	1
bin_571	1	5	1
bin_572	1	5	1
bin_573	1	5	1
bin_574	1	5	1
bin_575	1	5	1
bin_576	1	5	1
bin_577	1	5	1
bin_578	1	5	1
bin_579	1	5	1
bin_580	1	5	1
bin_581	1	5	1
bin_582	1	5	1
bin_583	1	5	1
bin_584	1	5	1
bin_585	1	5	1
bin_586	1	5	1
bin_587	1	5	1
bin_588	1	5	1
bin_589	1	5	1
bin_590	1	5	1
bin_591	1	5	1
bin_592	1	5	1
bin_593	1	5	1
bin_594	1	5	1
bin_595	1	5	1
bin_596	1	5	1
bin_597	1	5	1
bin_598	1	5	1
bin_599	1	5	1
bin_600	1	5	1
bin_601	1	5	1
bin_602	1	5	1
bin_603	1	5	1
bin_604	1	5	1
bin_605	1	5	1
bin_606	1	5	1
bin_607	1	5	1
bin_608	1	5	1
bin_609	1	5	1
bin_610	1	5	1
bin_611	1	5	1
bin_612	1	5	1
bin_613	1	5	1
bin_614	1	5	1
bin_615	1	5	1
bin_616	1	5	1
bin_617	1	5	1
bin_618	1	5	1
bin_619	1	5	1
bin_620	1	5	1
bin_621	1	5	1
bin_622	1	5	1
bin_623	1	5	1
bin_624	1	5	1
bin_625	1	5	1
bin_626	1	5	1
bin_627	1	5	1
bin_628	1	5	1
bin_629	1	5	1
bin_630	1	5	1
bin_631	1	5	1
bin_632	1	5	1
bin_633	1	5	1
bin_634	1	5	1
bin_635	1	5	1
bin_636	1	5	1
bin_637	1	5	1
bin_638	1	5	1
bin_639	1	5	1
bin_640	1	5	1
bin_641	1	5	1
bin_642	1	5	1
bin_643	1	5	1
bin_644	1	5	1
bin_645	1	5	1
bin_646	1	5	1
bin_647	1	5	1
bin_648	1	5	1
bin_649	1	5	1
bin_650	1	5	1
bin_651	1	5	1
bin_652	1	5	1
bin_653	1	5	1
bin_654	1	5	1
bin_655	1	5	1
bin_656	1	5	1
bin_657	1	5	1
bin_658	1	5	1
bin_659	1	5	1
bin_660	1	5	1
bin_661	1	5	1
bin_662	1	5	1
bin_663	1	5	1
bin_664	1	5	1
bin_665	1	5	1
bin_666	1	5	1
bin_667	1	5	1
bin_668	1	5	1
bin_669	1	5	1
bin_670	1	5	1
bin_671	1	5	1
bin_672	1	5	1
bin_673	1	5	1
bin_674	1	5	1
bin_675	1	5	1
bin_676	1	5	1
bin_677	1	5	1
bin_678	1	5	1
bin_679	1	5	1
bin_680	1	5	1
bin_681	1	5	1
bin_682	1	5	1
bin_683	1	5	1
bin_684	1	5	1
bin_685	1	5	1
bin_686	1	5	1
bin_687	1	5	1
bin_688	1	5	1
bin_689	1	5	1
bin_690	1	5	1
bin_691	1	5	1
bin_692	1	5	1
bin_693	1	5	1
bin_694	1	5	1
bin_695	1	5	1
bin_696	1	5	1
bin_697	1	5	1
bin_698	1	5	1
bin_699	1	5	1
bin_700	1	5	1
bin_701	1	5	1
bin_702	1	5	1
bin_703	1	5	1
bin_704	1	5	1
bin_705	1	5	1
bin_706	1	5	1
bin_707	1	5	1
bin_708	1	5	1
bin_709	1	5	1
bin_710	1	5	1
bin_711	1	5	1
bin_712	1	5	1
bin_713	1	5	1
bin_714	1	5	1
bin_715	1	5	1
bin_716	1	5	1
bin_717	1	5	1
bin_718	1	5	1
bin_719	1	5	1
bin_720	1	5	1
bin_721	1	5	1
bin_722	1	5	1
bin_723	1	5	1
bin_724	1	5	1
bin_725	1	5	1
bin_726	1	5	1
bin_727	1	5	1
bin_728	1	5	1
bin_729	1	5	1
bin_730	1	5	1
bin_731	1	5	1
bin_732	1	5	1
bin_733	1	5	1
bin_734	1	5	1
bin_735	1	5	1
bin_736	1	5	1
bin_737	1	5	1
bin_738	1	5	1
bin_739	1	5	1
bin_740	1	5	1
bin_741	1	5	1
bin_742	1	5	1
bin_743	1	5	1
bin_744	1	5	1
bin_745	1	5	1
bin_746	1	5	1
bin_747	1	5	1
bin_748	1	5	1
bin_749	1	5	1
bin_750	1	5	1
bin_751	1	5	1
bin_752	1	5	1
bin_753	1	5	1
bin_754	1	5	1
bin_755	1	5	1
bin_756	1	5	1
bin_757	1	5	1
bin_758	1	5	1
bin_759	1	5	1
bin_760	1	5	1
bin_761	1	5	1
bin_762	1	5	1
bin_763	1	5	1
bin_764	1	5	1
bin_765	1	5	1
bin_766	1	5	1
bin_767	1	5	1
bin_768	1	5	1
bin_769	1	5	1
bin_770	1	5	1
bin_771	1	5	1
bin_772	1	5	1
bin_773	1	5	1
bin_774	1	5	1
bin_775	1	5	1
bin_776	1	5	1
bin_777	1	5	1
bin_778	1	5	1
bin_779	1	5	1
bin_780	1	5	1
bin_781	1	5	1
bin_782	1	5	1
bin_783	1	5	1
bin_784	1	5	1
bin_785	1	5	1
bin_786	1	5	1
bin_787	1	5	1
bin_788	1	5	1
bin_789	1	5	1
bin_790	1	5	1
bin_791	1	5	1
bin_792	1	5	1
bin_793	1	5	1
bin_794	1	5	1
bin_795	1	5	1
bin_796	1	5	1
bin_797	1	5	1
bin_798	1	5	1
bin_799	1	5	1
bin_800	1	5	1
bin_801	1	5	1
bin_802	1	5	1
bin_803	1	5	1
bin_804	1	5	1
bin_805	1	5	1
bin_806	1	5	1
bin_807	1	5	1
bin_808	1	5	1
bin_809	1	5	1
bin_810	1	5	1
bin_811	1	5	1
bin_812	1	5	1
bin_813	1	5	1
bin_814	1	5	1
bin_815	1	5	1
bin_816	1	5	1
bin_817	1	5	1
bin_818	1	5	1
bin_819	1	5	1
bin_820	1	5	1
bin_821	1	5	1
bin_822	1	5	1
bin_823	1	5	1
bin_824	1	5	1
bin_825	1	5	1
bin_826	1	5	1
bin_827	1	5	1
bin_828	1	5	1
bin_829	1	5	1
bin_830	1	5	1
bin_831	1	5	1
bin_832	1	5	1
bin_833	1	5	1
bin_834	1	5	1
bin_835	1	5	1
bin_836	1	5	1
bin_837	1	5	1
bin_838	1	5	1
bin_839	1	5	1
bin_840	1	5	1
bin_841	1	5	1
bin_842	1	5	1
bin_843	1	5	1
bin_844	1	5	1
bin_845	1	5	1
bin_846	1	5	1
bin_847	1	5	1
bin_848	1	5	1
bin_849	1	5	1
bin_850	1	5	1
bin_851	1	5	1
bin_852	1	5	1
bin_853	1	5	1
bin_854	1	5	1
bin_855	1	5	1
bin_856	1	5	1
bin_857	1	5	1
bin_858	1	5	1
bin_859	1	5	1
bin_860	1	5	1
bin_861	1	5	1
bin_862	1	5	1
bin_863	1	5	1
bin_864	1	5	1
bin_865	1	5	1
bin_866	1	5	1
bin_867	1	5	1
bin_868	1	5	1
bin_869	1	5	1
bin_870	1	5	1
bin_871	1	5	1
bin_872	1	5	1
bin_873	1	5	1
bin_874	1	5	1
bin_875	1	5	1
bin_876	1	5	1
bin_877	1	5	1
bin_878	1	5	1
bin_879	1	5	1
bin_880	1	5	1
bin_881	1	5	1
bin_882	1	5	1
bin_883	1	5	1
bin_884	1	5	1
bin_885	1	5	1
bin_886	1	5	1
bin_887	1	5	1
bin_888	1	5	1
bin_889	1	5	1
bin_890	1	5	1
bin_891	1	5	1
bin_892	1	5	1
bin_893	1	5	1
bin_894	1	5	1
bin_895	1	5	1
bin_896	1	5	1
bin_897	1	5	1
bin_898	1	5	1
bin_899	1	5	1
bin_900	1	5	1
bin_901	1	5	1
bin_902	1	5	1
bin_903	1	5	1
bin_904	1	5	1
bin_905	1	5	1
bin_906	1	5	1
bin_907	1	5	1
bin_908	1	5	1
bin_909	1	5	1
bin_910	1	5	1
bin_911	1	5	1
bin_912	1	5	1
bin_913	1	5	1
bin_914	1	5	1
bin_915	1	5	1
bin_916	1	5	1
bin_917	1	5	1
bin_918	1	5	1
bin_919	1	5	1
bin_920	1	5	1
bin_921	1	5	1
bin_922	1	5	1
bin_923	1	5	1
bin_924	1	5	1
bin_925	1	5	1
bin_926	1	5	1
bin_927	1	5	1
bin_928	1	5	1
bin_929	1	5	1
bin_930	1	5	1
bin_931	1	5	1
bin_932	1	5	1
bin_933	1	5	1
bin_934	1	5	1
bin_935	1	5	1
bin_936	1	5	1
bin_937	1	5	1
bin_938	1	5	1
bin_939	1	5	1
bin_940	1	5	1
bin_941	1	5	1
bin_942	1	5	1
bin_943	1	5	1
bin_944	1	5	1
bin_945	1	5	1
bin_946	1	5	1
bin_947	1	5	1
bin_948	1	5	1
bin_949	1	5	1
bin_950	1	5	1
bin_951	1	5	1
bin_952	1	5	1
bin_953	1	5	1
bin_954	1	5	1
bin_955	1	5	1
bin_956	1	5	1
bin_957	1	5	1
bin_958	1	5	1
bin_959	1	5	1
bin_960	1	5	1
bin_961	1	5	1
bin_962	1	5	1
bin_963	1	5	1
bin_964	1	5	1
bin_965	1	5	1
bin_966	1	5	1
bin_967	1	5	1
bin_968	1	5	1
bin_969	1	5	1
bin_970	1	5	1
bin_971	1	5	1
bin_972	1	5	1
bin_973	1	5	1
bin_974	1	5	1
bin_975	1	5	1
bin_976	1	5	1
bin_977	1	5	1
bin_978	1	5	1
bin_979	1	5	1
bin_980	1	5	1
bin_981	1	5	1
bin_982	1	5	1
bin_983	1	5	1
bin_984	1	5	1
bin_985	1	5	1
bin_986	1	5	1
bin_987	1	5	1
bin_988	1	5	1
bin_989	1	5	1
bin_990	1	5	1
bin_991	1	5	1
bin_992	1	5	1
bin_993	1	5	1
bin_994	1	5	1
bin_995	1	5	1
bin_996	1	5	1
bin_997	1	5	1
bin_998	1	5	1
bin_999	1	5	1
